Subject,University,Description
RCC,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>NCE-505 and NCE‐601</strong> paper code(s) are comprehensively covered in <strong>AKTU-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=NCE-505]

AKTU offers this course under the name Design of concrete structures-i.
<ul><li><strong>66 Video Learning Outcomes</strong> attained across<strong> 26 topics</strong> taught over <strong>60 hours</strong> of instruction.</li><li>Total duration of course: <strong>60 hours</strong></li></ul>[tabby title=NCE‐601]

AKTU offers this course under the name Design of concrete structures-ii.
<ul><li><strong>55 Video Learning Outcomes</strong> attained across<strong> 23 topics</strong> taught over <strong>59 hours</strong> of instruction.</li><li>Total duration of course: <strong>59 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
RCC,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>BTCVC601 and BTCVC-701</strong> paper code(s) are comprehensively covered in <strong>DBATU-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCVC601]

DBATU offers this course under the name Design of concrete structures-i.
<ul><li><strong>80 Video Learning Outcomes</strong> attained across<strong> 35 topics</strong> taught over <strong>61 hours</strong> of instruction.</li><li>Total duration of course: <strong>61 hours</strong></li></ul>[tabby title=BTCVC-701]

DBATU offers this course under the name Design of concrete structures-ii.
<ul><li><strong>41 Video Learning Outcomes</strong> attained across<strong> 16 topics</strong> taught over <strong>59 hours</strong> of instruction.</li><li>Total duration of course: <strong>59 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
RCC,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>ETCE-212 and ETEN-305</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETCE-212/ETEN-305]

GGSIPU offers this course under the name Design of concrete structure.
<ul><li><strong>78 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>64 hours</strong> of instruction.</li><li>Total duration of course: <strong>64 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
RCC,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>3360601</strong> paper code(s) are comprehensively covered in <strong>GTU-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3360601]

GTU offers this course under the name Design of reinforced concrete structures.
<ul><li><strong>69 Video Learning Outcomes</strong> attained across<strong> 30 topics</strong> taught over <strong>59 hours</strong> of instruction.</li><li>Total duration of course: <strong>59 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
RCC,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>BTCE-403 and BTCE-601</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCE-403]

IKGPTU offers this course under the name Design of concrete structures-i.
<ul><li><strong>46 Video Learning Outcomes</strong> attained across<strong> 25 topics</strong> taught over <strong>63 hours</strong> of instruction.</li><li>Total duration of course: <strong>63 hours</strong></li></ul>[tabby title=BTCE-601]

IKGPTU offers this course under the name Design of concrete structure-ii.
<ul><li><strong>48 Video Learning Outcomes</strong> attained across<strong> 24 topics</strong> taught over <strong>61 hours</strong> of instruction.</li><li>Total duration of course: <strong>61 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
RCC,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>PEC-VIII</strong> paper code(s) are comprehensively covered in <strong>JCBUST-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PEC-VIII]

JCBUST offers this course under the name Design of concrete structures.
<ul><li><strong>114 Video Learning Outcomes</strong> attained across<strong> 48 topics</strong> taught over <strong>64 hours</strong> of instruction.</li><li>Total duration of course: <strong>64 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
RCC,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>CE502A, CE502B and CE-PC-501</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=CE502A]

MAKAUT offers this course under the name Design of rc structure-a.
<ul><li><strong>48 Video Learning Outcomes</strong> attained across<strong> 18 topics</strong> taught over <strong>62 hours</strong> of instruction.</li><li>Total duration of course: <strong>62 hours</strong></li></ul>[tabby title=CE502B]

MAKAUT offers this course under the name Design of rc structure-a.
<ul><li><strong>32 Video Learning Outcomes</strong> attained across<strong> 17 topics</strong> taught over <strong>60 hours</strong> of instruction.</li><li>Total duration of course: <strong>60 hours</strong></li></ul>[tabby title=CE-PC-501]

MAKAUT offers this course under the name Design of rc structures.
<ul><li><strong>80 Video Learning Outcomes</strong> attained across<strong> 35 topics</strong> taught over <strong>62 hours</strong> of instruction.</li><li>Total duration of course: <strong>62 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
RCC,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>BCIE1-625 and BCIEI-409</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BCIE1-625]

MRSPTU offers this course under the name Design of concrete structure-ii.
<ul><li><strong>48 Video Learning Outcomes</strong> attained across<strong> 24 topics</strong> taught over <strong>60 hours</strong> of instruction.</li><li>Total duration of course: <strong>60 hours</strong></li></ul>[tabby title=BCIEI-409]

MRSPTU offers this course under the name Design of concrete structures-i.
<ul><li><strong>55 Video Learning Outcomes</strong> attained across<strong> 22 topics</strong> taught over <strong>63 hours</strong> of instruction.</li><li>Total duration of course: <strong>63 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
RCC,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>CE601 and CE702</strong> paper code(s) are comprehensively covered in <strong>RGPV-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=CE601]

RGPV offers this course under the name Structural design & drawing (rcc-i).
<ul><li><strong>88 Video Learning Outcomes</strong> attained across<strong> 38 topics</strong> taught over <strong>61 hours</strong> of instruction.</li><li>Total duration of course: <strong>61 hours</strong></li></ul>[tabby title=CE702]

RGPV offers this course under the name Advanced structural
design – ii (rcc).
<ul><li><strong>58 Video Learning Outcomes</strong> attained across<strong> 25 topics</strong> taught over <strong>60 hours</strong> of instruction.</li><li>Total duration of course: <strong>60 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
RCC,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-rcc</i>; <strong>Password</strong>: <i>v2lbt-rcc</i>

<strong>5CE4-03</strong> paper code(s) are comprehensively covered in <strong>RTU-RCC</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=5CE4-03]

RTU offers this course under the name Design of concrete structures.
<ul><li><strong>77 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>60 hours</strong> of instruction.</li><li>Total duration of course: <strong>60 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
