Subject,University,Description
Discrete Maths,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>KCS303 and RCS301</strong> paper code(s) are comprehensively covered in <strong>AKTU-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KCS303]

AKTU offers this course under the name Discrete structures and theory of logic.
<ul><li><strong>147 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>42 hours</strong> of instruction.</li><li>Total duration of course: <strong>42 hours</strong></li></ul>[tabby title=RCS301]

AKTU offers this course under the name Discrete structures and theory of logic.
<ul><li><strong>212 Video Learning Outcomes</strong> attained across<strong> 74 topics</strong> taught over <strong>58 hours</strong> of instruction.</li><li>Total duration of course: <strong>58 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Discrete Maths,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>BTCOC304 and BTITC403</strong> paper code(s) are comprehensively covered in <strong>DBATU-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCOC304]

DBATU offers this course under the name Discrete mathematics.
<ul><li><strong>148 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>41 hours</strong> of instruction.</li><li>Total duration of course: <strong>41 hours</strong></li></ul>[tabby title=BTITC403]

DBATU offers this course under the name Discrete structures and applications.
<ul><li><strong>91 Video Learning Outcomes</strong> attained across<strong> 37 topics</strong> taught over <strong>24 hours</strong> of instruction.</li><li>Total duration of course: <strong>24 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Discrete Maths,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>ETCS-203</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETCS-203]

GGSIPU offers this course under the name Foundation of computer science.
<ul><li><strong>95 Video Learning Outcomes</strong> attained across<strong> 34 topics</strong> taught over <strong>28 hours</strong> of instruction.</li><li>Total duration of course: <strong>28 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Discrete Maths,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>3140708</strong> paper code(s) are comprehensively covered in <strong>GTU-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3140708]

GTU offers this course under the name Discrete mathematics.
<ul><li><strong>88 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Discrete Maths,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>BTCS401-18</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCS401-18]

IKGPTU offers this course under the name Discrete mathematics.
<ul><li><strong>80 Video Learning Outcomes</strong> attained across<strong> 28 topics</strong> taught over <strong>24 hours</strong> of instruction.</li><li>Total duration of course: <strong>24 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Discrete Maths,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>PCC-CS-401</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PCC-CS-401]

JCBUST offers this course under the name Discrete mathematics.
<ul><li><strong>102 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>28 hours</strong> of instruction.</li><li>Total duration of course: <strong>28 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Discrete Maths,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>PC-CS401</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PC-CS401]

MAKAUT offers this course under the name Discrete mathematics.
<ul><li><strong>109 Video Learning Outcomes</strong> attained across<strong> 38 topics</strong> taught over <strong>29 hours</strong> of instruction.</li><li>Total duration of course: <strong>29 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Discrete Maths,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>BMATH1-401</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BMATH1-401]

MRSPTU offers this course under the name Discrete mathematics.
<ul><li><strong>107 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Discrete Maths,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>CS301 and IT301</strong> paper code(s) are comprehensively covered in <strong>RGPV-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=CS301]

RGPV offers this course under the name Discrete structure.
<ul><li><strong>109 Video Learning Outcomes</strong> attained across<strong> 41 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabby title=IT301]

RGPV offers this course under the name Discrete structure.
<ul><li><strong>99 Video Learning Outcomes</strong> attained across<strong> 39 topics</strong> taught over <strong>28 hours</strong> of instruction.</li><li>Total duration of course: <strong>28 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Discrete Maths,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-discrete</i>; <strong>Password</strong>: <i>v2lbt-discrete</i>

<strong>4CS2-01 and 4IT2-02</strong> paper code(s) are comprehensively covered in <strong>RTU-Discrete Maths</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=4CS2-01/4IT2-02]

RTU offers this course under the name Discrete mathematics structure.
<ul><li><strong>100 Video Learning Outcomes</strong> attained across<strong> 38 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
