Subject,University,Description
Engineering Math 1,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>KAS103</strong> paper code(s) are comprehensively covered in <strong>AKTU-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KAS103]

AKTU offers this course under the name Mathematics-i.
<ul><li><strong>134 Video Learning Outcomes</strong> attained across<strong> 51 topics</strong> taught over <strong>31 hours</strong> of instruction.</li><li>Total duration of course: <strong>31 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Math 1,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>BTBS101</strong> paper code(s) are comprehensively covered in <strong>DBATU-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTBS101]

DBATU offers this course under the name Engineering mathematics-i.
<ul><li><strong>107 Video Learning Outcomes</strong> attained across<strong> 41 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Math 1,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>ETMA-101</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETMA-101]

GGSIPU offers this course under the name Applied mathematics-i.
<ul><li><strong>122 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>28 hours</strong> of instruction.</li><li>Total duration of course: <strong>28 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Math 1,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>3110014</strong> paper code(s) are comprehensively covered in <strong>GTU-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3110014]

GTU offers this course under the name Mathematics-i.
<ul><li><strong>137 Video Learning Outcomes</strong> attained across<strong> 52 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Math 1,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>BTAM104-18</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAM104-18]

IKGPTU offers this course under the name Maths-i.
<ul><li><strong>108 Video Learning Outcomes</strong> attained across<strong> 41 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Math 1,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>BSC103A, BSC103B, BSC103C, BSC103D and BSC103E</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BSC103A/BSC103B]

JCBUST offers this course under the name Mathematics-i (calculus and linear algebra).
<ul><li><strong>165 Video Learning Outcomes</strong> attained across<strong> 62 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabby title=BSC103C]

JCBUST offers this course under the name Mathematics-i (calculus and differential equations).
<ul><li><strong>246 Video Learning Outcomes</strong> attained across<strong> 96 topics</strong> taught over <strong>63 hours</strong> of instruction.</li><li>Total duration of course: <strong>63 hours</strong></li></ul>[tabby title=BSC103D]

JCBUST offers this course under the name Mathematics-i (calculus and linear algebra).
<ul><li><strong>153 Video Learning Outcomes</strong> attained across<strong> 58 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=BSC103E]

JCBUST offers this course under the name Mathematics-i (calculus and linear algebra).
<ul><li><strong>165 Video Learning Outcomes</strong> attained across<strong> 62 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Math 1,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>BS-M101 and BS-M102</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BS-M101]

MAKAUT offers this course under the name Mathematics-ia.
<ul><li><strong>101 Video Learning Outcomes</strong> attained across<strong> 38 topics</strong> taught over <strong>23 hours</strong> of instruction.</li><li>Total duration of course: <strong>23 hours</strong></li></ul>[tabby title=BS-M102]

MAKAUT offers this course under the name Mathematics-ib.
<ul><li><strong>165 Video Learning Outcomes</strong> attained across<strong> 62 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Math 1,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>BMAT0-101</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BMAT0-101]

MRSPTU offers this course under the name Mathematics-i.
<ul><li><strong>148 Video Learning Outcomes</strong> attained across<strong> 54 topics</strong> taught over <strong>33 hours</strong> of instruction.</li><li>Total duration of course: <strong>33 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Math 1,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>BT102</strong> paper code(s) are comprehensively covered in <strong>RGPV-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BT102]

RGPV offers this course under the name Mathematics-i.
<ul><li><strong>106 Video Learning Outcomes</strong> attained across<strong> 38 topics</strong> taught over <strong>24 hours</strong> of instruction.</li><li>Total duration of course: <strong>24 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Math 1,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-math1</i>; <strong>Password</strong>: <i>v2lbt-math1</i>

<strong>1FY2-01</strong> paper code(s) are comprehensively covered in <strong>RTU-Engineering Math 1</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=1FY2-01]

RTU offers this course under the name Engineering mathematics-i.
<ul><li><strong>106 Video Learning Outcomes</strong> attained across<strong> 39 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
