Subject,University,Description
Thermodynamics,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>KAE301 and KME301</strong> paper code(s) are comprehensively covered in <strong>AKTU-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KAE301]

AKTU offers this course under the name Fundamental of thermodynamics.
<ul><li><strong>78 Video Learning Outcomes</strong> attained across<strong> 32 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabby title=KME301]

AKTU offers this course under the name Thermodynamics.
<ul><li><strong>78 Video Learning Outcomes</strong> attained across<strong> 37 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Thermodynamics,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>BTAMC402 and BTMEC305</strong> paper code(s) are comprehensively covered in <strong>DBATU-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAMC402]

DBATU offers this course under the name Thermodynamics.
<ul><li><strong>80 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabby title=BTMEC305]

DBATU offers this course under the name Thermodynamics.
<ul><li><strong>67 Video Learning Outcomes</strong> attained across<strong> 26 topics</strong> taught over <strong>26 hours</strong> of instruction.</li><li>Total duration of course: <strong>26 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Thermodynamics,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>ETTE-210 and ETME-203</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETTE-210/ETME-203]

GGSIPU offers this course under the name Thermal science.
<ul><li><strong>84 Video Learning Outcomes</strong> attained across<strong> 34 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Thermodynamics,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>2131905, 2142004, 3130109 and 3132504</strong> paper code(s) are comprehensively covered in <strong>GTU-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=2131905]

GTU offers this course under the name Engineering thermodynamics.
<ul><li><strong>76 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>29 hours</strong> of instruction.</li><li>Total duration of course: <strong>29 hours</strong></li></ul>[tabby title=2142004]

GTU offers this course under the name Engineering thermodynamics.
<ul><li><strong>70 Video Learning Outcomes</strong> attained across<strong> 26 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabby title=3130109]

GTU offers this course under the name Thermodynamics for aeronautical engineering.
<ul><li><strong>72 Video Learning Outcomes</strong> attained across<strong> 31 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabby title=3132504]

GTU offers this course under the name Basic and applied thermodynamics.
<ul><li><strong>63 Video Learning Outcomes</strong> attained across<strong> 29 topics</strong> taught over <strong>24 hours</strong> of instruction.</li><li>Total duration of course: <strong>24 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Thermodynamics,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>BTAE302-18, BTANE304-18, BTME305-18 and BTPE303</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAE302-18/BTANE304-18/BTME305-18/BTPE303]

IKGPTU offers this course under the name Engineering thermodynamics.
<ul><li><strong>80 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Thermodynamics,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>PCC-AE-201, PCC-MAE-201 and PCC-ME-201</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PCC-AE-201/PCC-MAE-201/PCC-ME-201]

JCBUST offers this course under the name Thermodynamics.
<ul><li><strong>74 Video Learning Outcomes</strong> attained across<strong> 31 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Thermodynamics,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>AUE-301, ME301 and PC-ME301</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=AUE-301]

MAKAUT offers this course under the name Applied thermodynamics .
<ul><li><strong>83 Video Learning Outcomes</strong> attained across<strong> 35 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabby title=ME301]

MAKAUT offers this course under the name Applied thermodynamics .
<ul><li><strong>83 Video Learning Outcomes</strong> attained across<strong> 42 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabby title=PC-ME301]

MAKAUT offers this course under the name Thermodynamics.
<ul><li><strong>68 Video Learning Outcomes</strong> attained across<strong> 26 topics</strong> taught over <strong>26 hours</strong> of instruction.</li><li>Total duration of course: <strong>26 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Thermodynamics,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>BAEE2-302, BANES1-303 and BMECS1-303</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BAEE2-302]

MRSPTU offers this course under the name Engineering thermodynamics.
<ul><li><strong>60 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>22 hours</strong> of instruction.</li><li>Total duration of course: <strong>22 hours</strong></li></ul>[tabby title=BANES1-303]

MRSPTU offers this course under the name Basics of thermodynamics.
<ul><li><strong>72 Video Learning Outcomes</strong> attained across<strong> 30 topics</strong> taught over <strong>28 hours</strong> of instruction.</li><li>Total duration of course: <strong>28 hours</strong></li></ul>[tabby title=BMECS1-303]

MRSPTU offers this course under the name Thermodynamics.
<ul><li><strong>74 Video Learning Outcomes</strong> attained across<strong> 26 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Thermodynamics,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>AU302, IP302 and ME302</strong> paper code(s) are comprehensively covered in <strong>RGPV-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=AU302/IP302/ME302]

RGPV offers this course under the name Thermodynamics.
<ul><li><strong>80 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Thermodynamics,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-therm</i>; <strong>Password</strong>: <i>v2lbt-therm</i>

<strong>3AE4-05, 3AN3-03 and 3ME4-05</strong> paper code(s) are comprehensively covered in <strong>RTU-Thermodynamics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3AE4-05]

RTU offers this course under the name Engineering thermodynamics.
<ul><li><strong>84 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabby title=3AN3-03]

RTU offers this course under the name Engineering thermodynamics.
<ul><li><strong>66 Video Learning Outcomes</strong> attained across<strong> 28 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabby title=3ME4-05]

RTU offers this course under the name Engineering thermodynamics.
<ul><li><strong>84 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
