Subject,University,Description
Soil Mechanics,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>RCE-501</strong> paper code(s) are comprehensively covered in <strong>AKTU-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=RCE-501]

AKTU offers this course under the name Geotechincal engineering.
<ul><li><strong>148 Video Learning Outcomes</strong> attained across<strong> 47 topics</strong> taught over <strong>49 hours</strong> of instruction.</li><li>Total duration of course: <strong>49 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Soil Mechanics,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>BTCVC-503 and BTCVE605E</strong> paper code(s) are comprehensively covered in <strong>DBATU-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCVC-503]

DBATU offers this course under the name Soil mechanics.
<ul><li><strong>96 Video Learning Outcomes</strong> attained across<strong> 32 topics</strong> taught over <strong>49 hours</strong> of instruction.</li><li>Total duration of course: <strong>49 hours</strong></li></ul>[tabby title=BTCVE605E]

DBATU offers this course under the name Advanced soil mechanics.
<ul><li><strong>38 Video Learning Outcomes</strong> attained across<strong> 19 topics</strong> taught over <strong>47 hours</strong> of instruction.</li><li>Total duration of course: <strong>47 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Soil Mechanics,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>ETCE-210, ETEN-210 and ETCE-309</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETCE-210/ETEN-210]

GGSIPU offers this course under the name Soil mechanics .
<ul><li><strong>107 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>53 hours</strong> of instruction.</li><li>Total duration of course: <strong>53 hours</strong></li></ul>[tabby title=ETCE-309]

GGSIPU offers this course under the name Geotechnical and foundation engineering .
<ul><li><strong>71 Video Learning Outcomes</strong> attained across<strong> 30 topics</strong> taught over <strong>50 hours</strong> of instruction.</li><li>Total duration of course: <strong>50 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Soil Mechanics,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>3340605 and 3150615</strong> paper code(s) are comprehensively covered in <strong>GTU-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3340605]

GTU offers this course under the name Soil mechanics.
<ul><li><strong>86 Video Learning Outcomes</strong> attained across<strong> 29 topics</strong> taught over <strong>47 hours</strong> of instruction.</li><li>Total duration of course: <strong>47 hours</strong></li></ul>[tabby title=3150615]

GTU offers this course under the name Soil mechanics.
<ul><li><strong>71 Video Learning Outcomes</strong> attained across<strong> 22 topics</strong> taught over <strong>47 hours</strong> of instruction.</li><li>Total duration of course: <strong>47 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Soil Mechanics,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>BTCE506-18 and BTCE-603</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCE506-18]

IKGPTU offers this course under the name Geotechnical engineering.
<ul><li><strong>115 Video Learning Outcomes</strong> attained across<strong> 38 topics</strong> taught over <strong>51 hours</strong> of instruction.</li><li>Total duration of course: <strong>51 hours</strong></li></ul>[tabby title=BTCE-603]

IKGPTU offers this course under the name Foundation engineering.
<ul><li><strong>51 Video Learning Outcomes</strong> attained across<strong> 20 topics</strong> taught over <strong>49 hours</strong> of instruction.</li><li>Total duration of course: <strong>49 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Soil Mechanics,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>PCC-CE304</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PCC-CE304]

JCBUST offers this course under the name Geotechnical engineering.
<ul><li><strong>125 Video Learning Outcomes</strong> attained across<strong> 42 topics</strong> taught over <strong>52 hours</strong> of instruction.</li><li>Total duration of course: <strong>52 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Soil Mechanics,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>CE403A, CE-PC-401, CE-PC-504 and CE403B</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=CE403A/CE-PC-401]

MAKAUT offers this course under the name Soil mechanics – i.
<ul><li><strong>100 Video Learning Outcomes</strong> attained across<strong> 31 topics</strong> taught over <strong>51 hours</strong> of instruction.</li><li>Total duration of course: <strong>51 hours</strong></li></ul>[tabby title=CE-PC-504]

MAKAUT offers this course under the name Soil mechanics – ii .
<ul><li><strong>71 Video Learning Outcomes</strong> attained across<strong> 26 topics</strong> taught over <strong>48 hours</strong> of instruction.</li><li>Total duration of course: <strong>48 hours</strong></li></ul>[tabby title=CE403B]

MAKAUT offers this course under the name Soil mechaics-b.
<ul><li><strong>35 Video Learning Outcomes</strong> attained across<strong> 10 topics</strong> taught over <strong>48 hours</strong> of instruction.</li><li>Total duration of course: <strong>48 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Soil Mechanics,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>BTCE-502 and BCIEI-733</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCE-502]

MRSPTU offers this course under the name Geotechnical engineering.
<ul><li><strong>102 Video Learning Outcomes</strong> attained across<strong> 34 topics</strong> taught over <strong>52 hours</strong> of instruction.</li><li>Total duration of course: <strong>52 hours</strong></li></ul>[tabby title=BCIEI-733]

MRSPTU offers this course under the name Foundation engineering.
<ul><li><strong>57 Video Learning Outcomes</strong> attained across<strong> 25 topics</strong> taught over <strong>49 hours</strong> of instruction.</li><li>Total duration of course: <strong>49 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Soil Mechanics,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>CE604 and CE801</strong> paper code(s) are comprehensively covered in <strong>RGPV-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=CE604]

RGPV offers this course under the name Geo-technical engg. - i.
<ul><li><strong>136 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>50 hours</strong> of instruction.</li><li>Total duration of course: <strong>50 hours</strong></li></ul>[tabby title=CE801]

RGPV offers this course under the name Geo-technical engg.ii.
<ul><li><strong>63 Video Learning Outcomes</strong> attained across<strong> 22 topics</strong> taught over <strong>48 hours</strong> of instruction.</li><li>Total duration of course: <strong>48 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Soil Mechanics,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-soil</i>; <strong>Password</strong>: <i>v2lbt-soil</i>

<strong>5CE4-04</strong> paper code(s) are comprehensively covered in <strong>RTU-Soil Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=5CE4-04]

RTU offers this course under the name Geotechincal engineering.
<ul><li><strong>158 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>48 hours</strong> of instruction.</li><li>Total duration of course: <strong>48 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
